"gal-1_tmm"	"gal-2_tmm"	"gal-3_tmm"	"glu-1_tmm"	"glu-2_tmm"	"glu-3_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_gal"	"ave_glu"	"direction"	"candidate"	"Acc"	"gal-1_tmm"	"gal-2_tmm"	"gal-3_tmm"	"raf-1_tmm"	"raf-2_tmm"	"raf-3_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_gal"	"ave_raf"	"direction"	"candidate"	"Acc"	"glu-1_tmm"	"glu-2_tmm"	"glu-3_tmm"	"raf-1_tmm"	"raf-2_tmm"	"raf-3_tmm"	"logFC"	"FC"	"PValue"	"FDR"	"ave_glu"	"ave_raf"	"direction"	"candidate"	"Acc"
28665.2309719355	33528.8280847338	33479.0663721043	40554.4439766683	42139.4616966301	41602.8514108069	0.377608589752345	1.29918152592016	8.2358526485902e-07	1.32716807506934e-06	31891.0418095912	41432.2523613684	"up"	"high"	"sp|A5Z2X5|YP010_YEAST"	28665.2309719355	33528.8280847338	33479.0663721043	116316.559770494	103105.659868833	106057.434570529	1.76639719869035	3.40199667096868	9.48505547180838e-112	3.13603792102867e-110	31891.0418095912	108493.218069952	"up"	"high"	"sp|A5Z2X5|YP010_YEAST"	40554.4439766683	42139.4616966301	41602.8514108069	116316.559770494	103105.659868833	106057.434570529	1.38878854288944	2.61856915534507	2.73677585842481e-71	2.41408139153592e-70	41432.2523613684	108493.218069952	"up"	"high"	"sp|A5Z2X5|YP010_YEAST"
453388.532293886	445059.320629688	456568.937964585	434317.54418617	472295.851579676	454652.76005065	0.00663606089302571	1.00461202028666	0.891939659161474	0.901087758229797	451672.263629386	453755.385272165	"up"	"no"	"sp|O13297|CET1_YEAST"	453388.532293886	445059.320629688	456568.937964585	455553.053453069	437443.951264259	438984.257556798	-0.0247361393845606	-1.01729418368446	0.612604442408582	0.65529271577099	451672.263629386	443993.754091375	"down"	"no"	"sp|O13297|CET1_YEAST"	434317.54418617	472295.851579676	454652.76005065	455553.053453069	437443.951264259	438984.257556798	-0.0313722001269996	-1.02198596509712	0.520729772017705	0.549065647212245	453755.385272165	443993.754091375	"down"	"no"	"sp|O13297|CET1_YEAST"
96873.9195842969	89042.6420448556	90363.2778221002	91167.6011420748	85753.3897941609	86506.2635531416	-0.0687263366552047	-1.0487898831379	0.24907490097203	0.27380286719269	92093.2798170842	87809.0848297924	"down"	"no"	"sp|O13329|FOB1_YEAST"	96873.9195842969	89042.6420448556	90363.2778221002	107300.492727392	112627.399622871	115956.791737291	0.281825203223907	1.21574083999284	2.30538583804832e-06	5.02297891349882e-06	92093.2798170842	111961.561362518	"up"	"high"	"sp|O13329|FOB1_YEAST"	91167.6011420748	85753.3897941609	86506.2635531416	107300.492727392	112627.399622871	115956.791737291	0.350551532270779	1.27505669350207	4.26028884321875e-09	7.34596850865728e-09	87809.0848297924	111961.561362518	"up"	"high"	"sp|O13329|FOB1_YEAST"
5838.5754491811	6292.70471891629	7167.82568010428	3445.54957083837	888.132704897011	682.264745551484	-1.9437668765991	-3.84754977799794	5.01585479292367e-05	7.26783985931447e-05	6433.03528273389	1671.98234042895	"down"	"high"	"sp|O13516|RS9A_YEAST"	5838.5754491811	6292.70471891629	7167.82568010428	1207.13054318316	1297.55018639772	1350.19272472482	-2.32368254764735	-5.0064174808762	1.73169051632442e-06	3.80456912694325e-06	6433.03528273389	1284.9578181019	"down"	"high"	"sp|O13516|RS9A_YEAST"	3445.54957083837	888.132704897011	682.264745551484	1207.13054318316	1297.55018639772	1350.19272472482	-0.379914197851554	-1.30119628588178	0.413655231756581	0.442880873130687	1671.98234042895	1284.9578181019	"down"	"no"	"sp|O13516|RS9A_YEAST"
100872.413366859	103206.852592426	102369.717032418	127371.44882808	107432.815609937	129114.446237743	0.247972079534607	1.18753440498647	0.00133356797134779	0.00176613707802027	102149.660997234	121306.23689192	"up"	"high"	"sp|O13525|COQ4_YEAST"	100872.413366859	103206.852592426	102369.717032418	126968.531761623	113670.044788135	117280.022393752	0.223993285218247	1.16795492499057	0.00374754776534711	0.0057156147853423	102149.660997234	119306.199647837	"up"	"high"	"sp|O13525|COQ4_YEAST"	127371.44882808	107432.815609937	129114.446237743	126968.531761623	113670.044788135	117280.022393752	-0.0239787967707379	-1.01676390036718	0.756197388743792	0.773707261194687	121306.23689192	119306.199647837	"down"	"no"	"sp|O13525|COQ4_YEAST"
3689.45765292663	3903.17077257614	3919.6021338684	12341.366280064	9077.92256909022	11649.5877047037	1.52229352140112	2.87249950244779	3.75381331294999e-20	1.10304719351321e-19	3837.41018645706	11022.958851286	"up"	"high"	"sp|O13535|YH11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q03856|YD11A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0CX59|YO12A_YEAST;sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q12441|YD12A_YEAST"	3689.45765292663	3903.17077257614	3919.6021338684	2027.03494923681	2222.57194395605	1405.50973562652	-1.02563620411805	-2.03571938741334	4.60998537029674e-10	1.31064406679272e-09	3837.41018645706	1885.03887627313	"down"	"high"	"sp|O13535|YH11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q03856|YD11A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0CX59|YO12A_YEAST;sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q12441|YD12A_YEAST"	12341.366280064	9077.92256909022	11649.5877047037	2027.03494923681	2222.57194395605	1405.50973562652	-2.54792850583056	-5.84760292746814	6.90228555199967e-50	3.75967812095097e-49	11022.958851286	1885.03887627313	"down"	"high"	"sp|O13535|YH11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q04706|YM11A_YEAST;sp|Q03856|YD11A_YEAST;sp|P47099|YJ12A_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX66|YE12A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0CX59|YO12A_YEAST;sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q12441|YD12A_YEAST"
42148.7716280468	46327.135816875	45154.7726504715	53453.8580866013	61954.5481391153	55154.0522997231	0.352050663838785	1.27637200082857	1.80436423118775e-06	2.85318865720926e-06	44543.5600317977	56854.1528418133	"up"	"high"	"sp|O13539|THP2_YEAST"	42148.7716280468	46327.135816875	45154.7726504715	31492.0997409631	29914.1414446743	29219.5196613684	-0.560232650304132	-1.4745330560147	3.54599159260236e-14	1.31390660265078e-13	44543.5600317977	30208.5869490019	"down"	"high"	"sp|O13539|THP2_YEAST"	53453.8580866013	61954.5481391153	55154.0522997231	31492.0997409631	29914.1414446743	29219.5196613684	-0.91228326897669	-1.88205270699336	1.14649622735333e-34	4.37500739542093e-34	56854.1528418133	30208.5869490019	"down"	"high"	"sp|O13539|THP2_YEAST"
15015.1670880758	12354.6811767025	12548.3965357838	8984.4711162403	7565.71314639422	7646.64521649477	-0.722198133658017	-1.64973038451145	1.0939745719785e-12	2.32987016951097e-12	13306.0816001873	8065.60982637643	"down"	"high"	"sp|O13547|CCW14_YEAST"	15015.1670880758	12354.6811767025	12548.3965357838	56664.587128725	64498.4643587637	63998.5979004115	2.21362331036675	4.63852181660285	1.30505650193318e-98	3.67280186972624e-97	13306.0816001873	61720.5497959668	"up"	"high"	"sp|O13547|CCW14_YEAST"	8984.4711162403	7565.71314639422	7646.64521649477	56664.587128725	64498.4643587637	63998.5979004115	2.93582115886847	7.65231038006898	2.18546794003861e-162	7.43373555431839e-161	8065.60982637643	61720.5497959668	"up"	"high"	"sp|O13547|CCW14_YEAST"
127361.224478455	123419.454861158	132830.497991929	123057.462058171	138415.27416051	117825.240714864	-0.0163193086949105	-1.01137153546894	0.818242573926838	0.831610251402856	127870.392443847	126432.658977848	"down"	"no"	"sp|O13563|RPN13_YEAST"	127361.224478455	123419.454861158	132830.497991929	104967.469193559	96895.4046032248	102853.823507517	-0.332172552837769	-1.25891091865063	2.95515710921996e-06	6.36536802386878e-06	127870.392443847	101572.232434767	"down"	"high"	"sp|O13563|RPN13_YEAST"	123057.462058171	138415.27416051	117825.240714864	104967.469193559	96895.4046032248	102853.823507517	-0.315853237184891	-1.24475613016626	8.80276695777961e-06	1.31084983232699e-05	126432.658977848	101572.232434767	"down"	"high"	"sp|O13563|RPN13_YEAST"
1965.65179824103	3021.96711472749	2517.1833316632	1719.06436101846	1725.49897168706	1740.84326563469	-0.533052148002264	-1.44729291759569	9.0835547689318e-05	0.000129397550308857	2501.60074821058	1728.4688661134	"down"	"high"	"sp|O13577|DIF1_YEAST"	1965.65179824103	3021.96711472749	2517.1833316632	1763.33822551227	1685.6096838447	1674.1355079909	-0.550420626205099	-1.46489948206169	5.31347155361377e-05	0.000100327849462803	2501.60074821058	1707.69447244929	"down"	"high"	"sp|O13577|DIF1_YEAST"	1719.06436101846	1725.49897168706	1740.84326563469	1763.33822551227	1685.6096838447	1674.1355079909	-0.0173681141653706	-1.0121651700578	0.900061392231766	0.908128523788261	1728.4688661134	1707.69447244929	"down"	"no"	"sp|O13577|DIF1_YEAST"
